Amp_range,Avg_amp,Freq_range,Pulses_per_Sec,Partials,MFCC,Duration,Zero_Crossings,Sex,Age,Species,Call
0.3420934,0.024748836,4172.25,366.5833333333333,19,-9.876375,12,9537,P,Adult,L. lynx,call
0.17863289,0.031063393,2217.0,395.0,5,-9.876375,2,1520,P,Adult,L. lynx,
0.36422238,0.038998615,4357.000000000001,377.7,23,-9.876375,10,6511,P,Adult,L. lynx,roar or call
0.29829526,0.030886175,2623.25,349.25,13,-9.876375,4,2949,P,Adult,L. lynx,call
0.31315872,0.040953867,4756.533333333333,423.8666666666667,38,-9.876375,15,10950,P,Adult,L. lynx,call
0.12547301,0.024863608,1069.0,310.0,1,-9.876375,1,659,P,Adult,L. lynx,growl
0.16866486,0.024120396,3337.0,365.5,3,-9.876375,2,1576,P,Adult,L. lynx,growl
0.29145953,0.03147948,3727.0,386.3333333333333,29,-9.876375,9,7508,P,Adult,L. lynx,call
0.16426224,0.027476793,4806.5,922.5,9,-11.2223625,2,3015,G,Juvenile,L. lynx,call
0.23757167,0.0336579,10190.0,1212.0,21,-11.2223625,7,15203,G,Juvenile,L. lynx,growl?
0.1834886,0.016770527,10205.615384615385,769.1538461538462,11,-11.2223625,13,24416,G,Juvenile,L. lynx,growl?
0.15085697,0.015048667,5585.428571428572,701.7142857142857,13,-11.2223625,7,12043,G,Juvenile,L. lynx,growl 
0.057671558,0.005412427,1572.8333333333333,215.33333333333334,0,-20.478853,12,9230,P,Adult,L. lynx,growl
0.054017518,0.0080428785,873.6666666666666,270.5,1,-20.478853,6,3886,P,Adult,L. lynx,growl
0.04204338,0.008220536,705.6666666666666,318.6666666666667,2,-20.478853,3,2129,P,Adult,L. lynx,growl
0.16679262,0.019308157,2281.5,412.0,6,-20.478853,2,1898,P,Adult,L. lynx,roar?
0.024318794,0.0028660975,664.5,129.5,0,-22.835665,2,3768,,Juvenile,L. lynx,growl
0.016392741,0.0030142833,490.20000000000005,107.4,0,-22.835665,5,6088,,Juvenile,L. lynx,growl
0.022715854,0.0028958959,3381.0,311.5,0,-22.835665,2,5386,,Juvenile,L. lynx,growl
0.03716095,0.0037635234,5163.333333333333,825.6666666666666,0,-22.835665,6,23828,,Juvenile,L. lynx,growl
0.066174686,0.0042995834,771.0,157.75,2,-21.903997,4,4654,,Juvenile,L. lynx,hiss
0.0693323,0.004723617,954.8000000000001,138.5,0,-21.903997,10,10300,,Juvenile,L. lynx,growl
0.2490006,0.04501172,2533.3333333333335,224.0,5,-6.574149,3,1332,Female,Adult,L. lynx,call?
0.11610384,0.021107933,2046.4,171.6,5,-6.574149,5,2103,Female,Adult,L. lynx,growl
0.11875047,0.028752465,1740.6666666666665,173.33333333333334,4,-6.574149,3,1046,Female,Adult,L. lynx,growl
0.052201994,0.010574907,764.0,157.0,0,-6.574149,1,427,Female,Adult,L. lynx,roar
